Date,Volume
2/28/2020,106721200
2/27/2020,80151380
2/26/2020,49678430
2/25/2020,57668360
2/24/2020,55548830
2/21/2020,32426420
2/20/2020,25141490
2/19/2020,23495990
2/18/2020,38190550
2/14/2020,20028450
2/13/2020,23686890
2/12/2020,28432570
2/11/2020,23580780
2/10/2020,27337220
2/7/2020,29421010
2/6/2020,26356390
2/5/2020,29706720
2/4/2020,34154130
2/3/2020,43496400
1/31/2020,49897100
1/30/2020,31685810
1/29/2020,54149930
1/28/2020,40558490
1/27/2020,40485010
1/24/2020,36634380
1/23/2020,26117990
1/22/2020,25458120
1/21/2020,27710810
1/17/2020,34454120
1/16/2020,27207250
1/15/2020,30480880
1/14/2020,40653460
1/13/2020,30521720
1/10/2020,35217270
1/9/2020,42621540
1/8/2020,33090950
1/7/2020,27877660
1/6/2020,29644640
1/3/2020,36633880
1/2/2020,33911860
12/31/2019,25247630
12/30/2019,36059610
12/27/2019,36592940
12/26/2019,23334000
12/24/2019,12119710
12/23/2019,24677880
12/20/2019,69032740
12/19/2019,24626950
12/18/2019,29024690
12/17/2019,28575800
12/16/2019,32081110
12/13/2019,33432810
12/12/2019,34437040
12/11/2019,19723390
12/10/2019,22632380
12/9/2019,32182650
12/6/2019,26547490
12/5/2019,18661340
12/4/2019,16810390
12/3/2019,29377270
12/2/2019,23693550
11/29/2019,11654360
11/27/2019,16386120
11/26/2019,26334880
11/25/2019,21029520
11/22/2019,16331260
11/21/2019,30348780
11/20/2019,26609920
11/19/2019,19069600
11/18/2019,21700900
11/15/2019,25093670
11/14/2019,22395560
11/13/2019,25817590
11/12/2019,21847230
11/11/2019,20507460
11/8/2019,17520500
11/7/2019,23735080
11/6/2019,18966120
11/5/2019,19974430
11/4/2019,25817950
11/1/2019,37781330
10/31/2019,34790520
10/30/2019,31130520
10/29/2019,35709870
10/28/2019,24143240
10/25/2019,18369300
10/24/2019,17916260
10/23/2019,19932550
10/22/2019,22684000
10/21/2019,22367480
10/18/2019,24377170
10/17/2019,17272900
10/16/2019,19286690
10/15/2019,23040480
10/14/2019,24413480
10/11/2019,41990210
10/10/2019,28962980
10/9/2019,19029420
10/8/2019,29282700
10/7/2019,30889270
10/4/2019,34755550
10/3/2019,30352690
10/2/2019,35767260
10/1/2019,36187160
9/30/2019,26318580
9/27/2019,25361290
9/26/2019,19088310
9/25/2019,22481010
9/24/2019,31434370
9/23/2019,19419650
9/20/2019,57977090
9/19/2019,22187880
9/18/2019,25643090
9/17/2019,18386470
9/16/2019,21158140
9/13/2019,39763300
9/12/2019,32226670
9/11/2019,44289650
9/10/2019,31777930
9/9/2019,27309400
9/6/2019,19362290
9/5/2019,23946880
9/4/2019,19216820
9/3/2019,20059570
8/30/2019,21162560
8/29/2019,21007650
8/28/2019,15957630
8/27/2019,25897340
8/26/2019,26066130
8/23/2019,46882840
8/22/2019,22267820
8/21/2019,21564750
8/20/2019,26919530
8/19/2019,24431920
8/16/2019,28813620
8/15/2019,27883360
8/14/2019,36547440
8/13/2019,47539790
8/12/2019,22481890
8/9/2019,24619750
8/8/2019,27009520
8/7/2019,33364400
8/6/2019,35824790
8/5/2019,52392970
8/2/2019,40862120
8/1/2019,54017920
7/31/2019,69281360
7/30/2019,33935720
7/29/2019,21673390
7/26/2019,17618870
7/25/2019,13909560
7/24/2019,14991570
7/23/2019,18355210
7/22/2019,22277930
7/19/2019,20929310
7/18/2019,18582160
7/17/2019,14107450
7/16/2019,16866820
7/15/2019,16947420
7/12/2019,17595210
7/11/2019,20191840
7/10/2019,17897140
7/9/2019,20578020
7/8/2019,25338630
7/5/2019,17265520
7/3/2019,11362050
7/2/2019,16935220
7/1/2019,27316740
6/28/2019,31110640
6/27/2019,20899720
6/26/2019,26067510
6/25/2019,21070330
6/24/2019,18220420
6/21/2019,47800590
6/20/2019,21513990
6/19/2019,21124240
6/18/2019,26551000
6/17/2019,14669140
6/14/2019,18761470
6/13/2019,21674630
6/12/2019,18253190
6/11/2019,26932880
6/10/2019,26220850
6/7/2019,30684390
6/6/2019,22526310
6/5/2019,29773430
6/4/2019,30967960
6/3/2019,40396070
5/31/2019,27043580
5/30/2019,21218410
5/29/2019,28481170
5/28/2019,27948160
5/24/2019,23714690
5/23/2019,36529740
5/22/2019,29748560
5/21/2019,28364850
5/20/2019,38612290
5/17/2019,32879090
5/16/2019,33031360
5/15/2019,26544720
5/14/2019,36529680
5/13/2019,57430620
5/10/2019,41208710
5/9/2019,34908610
5/8/2019,26339500
5/7/2019,38763700
5/6/2019,32443110
5/3/2019,20892380
5/2/2019,31996320
5/1/2019,64827330
4/30/2019,45751160
4/29/2019,22010360
4/26/2019,18612770
4/25/2019,18463850
4/24/2019,17427570
4/23/2019,23286380
4/22/2019,17841920
4/18/2019,24185530
4/17/2019,28865310
4/16/2019,25668330
4/15/2019,17524150
4/12/2019,27738580
4/11/2019,20543190
4/10/2019,21654750
4/9/2019,35738280
4/8/2019,25829880
4/5/2019,18473070
4/4/2019,19090050
4/3/2019,23243160
4/2/2019,22727370
